sind1272	# m aː i ʈ r u #	# m aː t r̩ g o t r a #
kuma1273	# m a i t #	# m aː t r̩ g o t r a #
nepa1254	# m aː i t #	# m aː t r̩ g o t r a #
hind1269	# m aː iː t #	# m aː t r̩ g o t r a #
maha1287	# m a c i #	# m aː t r̩ g o t r a #
nepa1254	# m aː i t i #	# m aː t r̩ g o t r a #
kach1277	# m aː j t a r #	# m aː t r̩ g o t r a #
guja1252	# m aː ʋ t a r #	# m aː t r̩ g o t r a #
guja1252	# m aː ʋ i t a r #	# m aː t r̩ g o t r a #
mara1378	# aː ʋ aː #	# aː ʋ aː p a #
nort2665	# p u ʂ #	# p r̩ ʂ a #
bhad1241	# t a s s a r #	# t a s a r a #
nepa1254	# t o s r o #	# t a s a r a #
oriy1255	# t a s r aː #	# t a s a r a #
hind1269	# t a s a r #	# t a s a r a #
sinh1246	# t a r a s #	# t a s a r a #
hind1269	# t a s a r #	# t a s a r a #
panj1256	# ʈ a s a r #	# t a s a r a #
sind1272	# t a s a r i #	# t a s a r a #
mara1378	# t a s a r #	# t a s a r a #
dhiv1236	# t e r i #	# t a s a r a #
nepa1254	# p aː s o #	# p a r ʃ ʋ a dʱ a #
hind1269	# p aː s aː #	# p a r ʃ ʋ a dʱ a #
kash1277	# ʋ e #	# n a ʂ ʈ i #
panj1256	# n aː ʈʰ #	# n a ʂ ʈ i #
kuma1273	# n aː ʈ #	# n a ʂ ʈ i #
kuma1273	# n aː ~ ʈ #	# n a ʂ ʈ i #
assa1263	# n aː ʈʰ #	# n a ʂ ʈ i #
hind1269	# n a h aː ʈ #	# n a ʂ ʈ i #
sinh1246	# s a ʋ u n a #	# ʃ r aː ʋ a ɳ a #
sind1272	# k a ɲ aː #	# k a n j aː #
west2386	# k a n ʝ #	# k a n j aː #
assa1263	# k a n aː i #	# k a n j aː #
panj1256	# k a n n e aː #	# k a n j aː #
panj1256	# g a m a ɳ #	# g a m a n a #
kuma1273	# g a u ɳ o #	# g a m a n a #
nepa1254	# g a ʋ a n #	# g a m a n a #
beng1280	# aː n aː #	# g a m a n a #
bagh1251	# g a ʋ a n #	# g a m a n a #
bhoj1244	# g a ʋ a n aː #	# g a m a n a #
hind1269	# g a u n #	# g a m a n a #
braj1242	# g a ʋ a n #	# g a m a n a #
sind1272	# g a ~ ʋ aː i #	# g a m a j #
panj1256	# g a ~ ʋ aː u #	# g a m a j #
bhad1241	# g o aː #	# g a m a j #
cham1307	# g u aː #	# g a m a j #
kuma1273	# g a u #	# g a m a j #
