Khol,574,ambe,mother,,ambe,,kholosi
Khol,1268,ambo,mango,,ambo,,kholosi
Khol,385,andāđo,dark,,andɔðo,,kholosi
Khol,941,aterā,eight,,aterɔ,,kholosi
Khol,1338,atto,flour,,atto,,kholosi
Khol,5889,attu,you (sg.),,attu,,kholosi
Khol,43,ax,eye,,ax,,kholosi
Khol,227,acen,to come,,at͡ʃen,,kholosi
Khol,11405,balen,to run,,balen,?,kholosi
Khol,9161,ball,strength,,ball,or bal?,kholosi
Khol,6648,barā,two,,barɔ,,kholosi
Khol,9153,baxoro,sheep,,baxoro,,kholosi
Khol,9209,bābo,father's brother,,bɔbo,,kholosi
Khol,6250,dahri,beard,,dahri,,kholosi
Khol,6250,dahri tale,chin,,dahri tale,,kholosi
Khol,6152,dand,tooth,,dand,,kholosi
Khol,6152,dand digenen,to bite,,dand digenen,,kholosi
Khol,6190,darpen,to scare,,darpen,?,kholosi
Khol,6227,dazerā,ten,,dazerɔ,,kholosi
Khol,6333,deh,sun,,deh,"s > h is not active in Kholosi though, probably wrong etymon",kholosi
Khol,6140,diyen,to give,,dijen,,kholosi
Khol,6333,dizin,day,,dizin,,kholosi
Khol,6605,doter,grandchild,,doter,,kholosi
Khol,6495,dur,far,,dur,or from Persian,kholosi
Khol,6261,dāzo,elder brother,,dɔzo,,kholosi
Khol,4118,gahro,red,,gahro,,kholosi
Khol,4209,gavoro,heavy,,gavoro,,kholosi
Khol,4236,genen,to take,,genen,,kholosi
Khol,4154,geci,neck,,get͡ʃi,,kholosi
Khol,4516,gohro,horse,,gohro,,kholosi
Khol,4321,golāndo,round,,golɔndo,,kholosi
Khol,4147,gāv,cow,,gɔʋ,or from Persian,kholosi
Khol,4135,gāyen,to sing,,gɔjen,,kholosi
Khol,4135,gāy,song,,gɔj,,kholosi
Khol,14024,hat,hand,,hat,,kholosi
Khol,14152,hiyo,heart,,hijo,,kholosi
Khol,2462,hoko,one,,hoko,,kholosi
Khol,5213,jolo,spider,,d͡ʒolo,?,kholosi
Khol,2660,kadden,to pull,,kadden,,kholosi
Khol,2830,kan,ear,,kan,,kholosi
Khol,2184,ke,accusative-dative,,ke,,kholosi
Khol,3438,kerem,worm,,kerem,or from Persian,kholosi
Khol,3934,kolen,to dig,,kolen,?,kholosi
Khol,3002,konjen,to want,,kond͡ʒen,seems to be quite a conservatism,kholosi
Khol,3552,koso,warm,,koso,,kholosi
Khol,3275,kotoro,dog,,kotoro,,kholosi
Khol,3104,kāl,yesterday,,kɔl,,kholosi
Khol,3083,kāro,black,,kɔro,,kholosi
Khol,10948,len,to take,,len,citation form uncertain,kholosi
Khol,10978,lon,salt,,lon,,kholosi
Khol,10640,lāren,to throw,,lɔren,?,kholosi
Khol,9706,mangal,fire,,maŋgal,,kholosi
Khol,9871,maren,to die,,maren,,kholosi
Khol,9926,mato,head,,mato,,kholosi
Khol,10286,matti,dirt,,matti,,kholosi
Khol,9696,maxi,fly,,maxi,,kholosi
Khol,9758,machi,fish,,mat͡ʃʰi,,kholosi
Khol,10323,meo,fat,,meo,,kholosi
Khol,9828,mers,husband,,mers,,kholosi
Khol,10234,meter,urine,,meter,,kholosi
Khol,9962,miri,wife,,miri,,kholosi
Khol,10055,momo,mother's brother,,momo,,kholosi
Khol,9375,moni,bread,,moni,,kholosi
Khol,10001,mosi,mother's sister,,mosi,,kholosi
Khol,10158,mov,face,,moʋ,,kholosi
Khol,9883,moxoro,ant,,moxoro,,kholosi
Khol,9804,mā,"at, in (locative)",,mɔ,,kholosi
Khol,10066,māren,to kill,,mɔren,,kholosi
Khol,10016,māv,mother,,mɔʋ,,kholosi
Khol,10016,mov,mother,,moʋ,,kholosi
Khol,9691,māy,I,,mɔj,,kholosi
Khol,9982,māz,meat,,mɔz,,kholosi
Khol,10302,meh,rain,,meh,,kholosi
Khol,6983,nao,new; moon,,nao,,kholosi
Khol,7047,nari,throat,,nari,,kholosi
Khol,7081,nav,lake,,naʋ,?,kholosi
Khol,6984,naverā,nine,,naʋerɔ,,kholosi
Khol,7062,nei,navel,,nei,,kholosi
Khol,7150,noko,"small, short",,noko,,kholosi
Khol,7059,noni,grandmother,,noni,,kholosi
Khol,7059,nāno,grandfather,,nɔno,,kholosi
Khol,7067,nāy,name,,nɔj,,kholosi
Khol,7067,nāyo,name,,nɔjo,,kholosi
Khol,1388,olu,potato,,olu,,kholosi
Khol,9349,phen,younger sister,,pʰen,,kholosi
Khol,7655,panjerā,five,,pand͡ʒerɔ,,kholosi
Khol,7712,paren,to read,,paren,,kholosi
Khol,3283,parono,old,,parono,,kholosi
Khol,3283,perāno,old,,perɔno,,kholosi
Khol,7747,pay,foot,,paj,,kholosi
Khol,8376,pet,"belly, abdomen",,pet,,kholosi
Khol,7733,petak,leaf,,petak,?,kholosi
Khol,8265,peter,boy,,peter,,kholosi
Khol,8151,phec,tail,,pʰet͡ʃ,,kholosi
Khol,8209,piyen,to drink,,pijen,,kholosi
Khol,8179,pu,father,,pu,,kholosi
Khol,8179,phu,father,,pʰu,,kholosi
Khol,7747,pāyo,leg,,pɔjo,,kholosi
Khol,9089,phepi,father's sister,,pʰepi,,kholosi
Khol,9557,phi,earth,,pʰi,,kholosi
Khol,10539,rat,blook,,rat,,kholosi
Khol,10628,rayen,to play,,rajen,,kholosi
Khol,10840,royen,to cry,,rojen,,kholosi
Khol,10702,rāt,night,,rɔt,,kholosi
Khol,13080,sagen,to be able to,,sagen,+subjunctive,kholosi
Khol,12359,saodo,rabbit,,saodo,?,kholosi
Khol,13271,sap,snake,,sap,,kholosi
Khol,13139,saterā,seven,,saterɔ,,kholosi
Khol,12278,sau,hundred,,sau,,kholosi
Khol,13905,semen,to sleep,,semen,,kholosi
Khol,12598,senen,to hear,,senen,,kholosi
Khol,13444,siben,to sew,,siben,,kholosi
Khol,12372,sino,thin,,sino,,kholosi
Khol,13401,siđa,straight,,siða,,kholosi
Khol,12506,sokolo,white,,sokolo,,kholosi
Khol,13276,sāf,all,,sɔf,,kholosi
Khol,4749,sāl,rice,,sɔl,?,kholosi
Khol,13127,sāndo,with (comitative),,sɔnda,,kholosi
Khol,12672,sāo,green,,sɔo,,kholosi
Khol,12672,sovoyi,grass,,soʋoji,,kholosi
Khol,5994,tereṛā,three,,tereɽɔ,,kholosi
Khol,5798,tāro,star,,tɔro,,kholosi
Khol,13774,thal,mountain,,tʰal,,kholosi
Khol,6481,thiv,girl,,tʰiʋ,,kholosi
Khol,13752,thiyen,to become,,tʰijen,,kholosi
