Cognateset_ID,Language_ID,Form,Description,Source
1,Indo-Aryan,a,"<number>1</number> <b>a</b> pron. stem: <i>asyá</i> gen. sg. m., <i>asmai</i> dat., <i>asmin</i> loc.",cdial
2,Indo-Aryan,áṁśa,"<number>2</number> <b>áṁśa</b> m. ʻ share, part ʼ RV. [√<smallcaps>aś</smallcaps><superscript>1</superscript>]",cdial
3,Indo-Aryan,aṁśabhōgin,"<number>3</number> *<b>aṁśabhōgin</b> ʻ sharing ʼ. [<smallcaps>áṁśa -- , bhṓga</smallcaps> -- ]",cdial
4,Indo-Aryan,aṁśú,"<number>4</number> <b>aṁśú</b> m. ʻ filament esp. of soma -- plant ʼ RV., ʻ thread, minute particle, ray ʼ.",cdial
5,Indo-Aryan,aṁśuka,"<number>5</number> <b>aṁśuka</b> ʻ *fibrous ʼ, n. ʻ cloth, garment ʼ lex. [<smallcaps>aṁśú</smallcaps> -- ]",cdial
6,Indo-Aryan,áṁsa,"<number>6</number> <b>áṁsa</b> m. ʻ shoulder, shoulder -- blade ʼ RV.",cdial
7,Indo-Aryan,"áṁsiya- , áṁsya","<number>7</number> <b>áṁsiya -- , áṁsya</b> ʻ belonging to the shoulder ʼ RV., ʻ *made of or shaped like the shoulder -- blade ʼ. [<smallcaps>áṁsa</smallcaps> -- ]",cdial
8,Indo-Aryan,AṀH,<number>8</number> <b>AṀH</b> ʻ press ʼ: see <smallcaps>áṁhas</smallcaps> -- .<div>  			</div>,cdial
9,Indo-Aryan,áṁhas,<number>9</number> <b>áṁhas</b> n. ʻ trouble ʼ RV. [√<smallcaps>aṁh</smallcaps>],cdial
9a,Indo-Aryan,akarmán- ,"<number>9a</number> †<b>akarmán -- </b> ʻ not working, not performing good works ʼ RV. [<smallcaps>kárman -- <superscript>1</superscript>: √kr̥</smallcaps>]",cdial
10,Indo-Aryan,akalpá,<number>10</number> <b>akalpá</b> ʻ not subject to rules ʼ RV. [<smallcaps>kálpa</smallcaps> -- ],cdial
11,Indo-Aryan,akāla,"<number>11</number> <b>akāla</b> ʻ out of time ʼ MBh., m. ʻ wrong time ʼ. [<smallcaps>kālá</smallcaps> -- <superscript>2</superscript>]",cdial
12,Indo-Aryan,akālasasya,"<number>12</number> *<b>akālasasya</b> ʻ harvest out of time ʼ. [<smallcaps>akāla -- , sasyá</smallcaps> -- ]",cdial
13,Indo-Aryan,akulanīya,<number>13</number> *<b>akulanīya</b> ʻ without family ʼ. [<smallcaps>kúla</smallcaps> -- ],cdial
14,Indo-Aryan,ákr̥ṣṭa,<number>14</number> <b>ákr̥ṣṭa</b> n. ʻ unploughed land ʼ AV. [<smallcaps>kr̥ṣṭá</smallcaps> -- ],cdial
15,Indo-Aryan,akka,"<number>15</number> *<b>akka</b> ʻ vexed, bewildered ʼ.",cdial
16,Indo-Aryan,akkā,"<number>16</number> <b>akkā</b> ʻ mother ʼ Kāś. [← Drav. Burrow, BSOAS 12, 365: Tam. <i>akkai</i> ʻ elder sister ʼ]",cdial
17,Indo-Aryan,akkha,"<number>17</number> *<b>akkha</b> ʻ sacking, bag, net ʼ. [Perh. conn. Sk. <i>ákṣi</i> -- , if Pa. <i>akkhika</i> -- n. ʻ mesh of a net ʼ &lt; ʻ *having eyes ʼ]",cdial
18,Indo-Aryan,aktá,"<number>18</number> <b>aktá</b> ʻ smeared ʼ. [Cf. <i>āˊkta</i> -- ʻ anointed ʼ, <i>svāˊkta</i> -- n. ʻ good ointment ʼ AV.: √<smallcaps>añj</smallcaps>]",cdial
19,Indo-Aryan,akrōdha,"<number>19</number> <b>akrōdha</b> m. ʻ freedom from anger ʼ, cf. <i>akrōdhamáya</i>- ʻ free from anger ʼ ŚBr. [<smallcaps>krṓdha</smallcaps> -- ]",cdial
20,Indo-Aryan,aklitta,<number>20</number> *<b>aklitta</b> ʻ not wetted ʼ. [*<smallcaps>klitta</smallcaps> -- ],cdial
21,Indo-Aryan,ákṣa,"<number>21</number> <b>ákṣa</b><superscript>1</superscript> m. ʻ axle ʼ RV., ʻ collar -- bone ʼ ŚBr., ʻ temporal bone ʼ Yājñ., <i>akṣaka</i> -- m.n. ʻ collar -- bone ʼ Suśr. [Perh. conn. <smallcaps>ákṣu</smallcaps> -- ]",cdial
22,Indo-Aryan,akṣá,"<number>22</number> <b>akṣá</b><superscript>2</superscript> m. ʻ a die for gambling ʼ RV., ʻ the tree Elaeocarpus ganitrus ʼ Suśr., ʻ its seed (of which rosaries were made and which were used for dice) ʼ.",cdial
23,Indo-Aryan,akṣa,<number>23</number> <b>akṣa</b><superscript>3</superscript> n. ʻ eye ʼ lex. [ -- <i>akṣá</i> -- in cmpd. for <smallcaps>ákṣi</smallcaps> -- Pāṇ.],cdial
24,Indo-Aryan,akṣa,"<number>24</number> <b>akṣa</b><superscript>4</superscript> n. ʻ blue vitriol ʼ lex. [Cf. Av. <i>axšaēna</i> -- ʻ dark- coloured ʼ, Yid. <i>axšin</i> ʻ blue ʼ Horn NPE 109, Morgenstierne IIFL ii 195, W. S. Allen The Classical Quarterly xli 88 note 1]",cdial
25,Indo-Aryan,akṣakīla,"<number>25</number> *<b>akṣakīla</b> cf. <i>akṣāgrakīla</i> -- , <i>˚aka</i> -- m. ʻ lynch -- pin ʼ lex. [<smallcaps>ákṣa -- <superscript>1</superscript>, kīla</smallcaps> -- ]",cdial
26,Indo-Aryan,akṣaṇa,<number>26</number> <b>akṣaṇa</b> ʻ inopportune ʼ lex. [<smallcaps>kṣaṇa</smallcaps> -- ],cdial
27,Indo-Aryan,akṣaṇā,<number>27</number> *<b>akṣaṇā</b> f. ʻ lightning ʼ. [<smallcaps>akṣaṇa</smallcaps> -- sc. <i>vidyút</i> -- f.],cdial
28,Indo-Aryan,ákṣata,"<number>28</number> <b>ákṣata</b> ʻ unhurt ʼ RV., ʻ not crushed ʼ ĀśvGr̥., m. pl. ʻ uncrushed barley ʼ Kālid. [<smallcaps>kṣatá</smallcaps> -- <superscript>1</superscript>]",cdial
29,Indo-Aryan,akṣatra,<number>29</number> <b>akṣatra</b> ʻ separated from the Kṣatriya caste ʼ MBh. [<smallcaps>kṣatrá</smallcaps> -- ],cdial
30,Indo-Aryan,akṣadāruka,"<number>30</number> *<b>akṣadāruka</b> ʻ a partic. tree ʼ. [<smallcaps>akṣá -- <superscript>2</superscript>, dāˊru</smallcaps> -- <superscript>2</superscript>]",cdial
31,Indo-Aryan,akṣadhur,"<number>31</number> <b>akṣadhur</b> f. ʻ pin or pole of axle ʼ. [<smallcaps>ákṣa -- <superscript>1</superscript>, dhúr</smallcaps> -- ]",cdial
32,Indo-Aryan,akṣapaṭṭa,"<number>32</number> *<b>akṣapaṭṭa</b> ʻ notched board ʼ. [<smallcaps>akṣa -- <superscript>3</superscript>, paṭṭa</smallcaps> -- <superscript>1</superscript>]",cdial
33,Indo-Aryan,akṣapuṭa,"<number>33</number> *<b>akṣapuṭa</b> ʻ collar -- bone ʼ. [<smallcaps>ákṣa -- <superscript>1</superscript>, puṭa</smallcaps> -- ]",cdial
34,Indo-Aryan,akṣama,<number>34</number> <b>akṣama</b> ʻ unable to bear ʼ Hit. [<smallcaps>kṣamá</smallcaps> -- ],cdial
35,Indo-Aryan,akṣamālā,"<number>35</number> <b>akṣamālā</b> f. ʻ string of rosary beads ʼ lex., cf. <i>akṣamālin</i>- m. ʻ name of Śiva ʼ MBh. [<smallcaps>akṣá -- <superscript>2</superscript>, mālā</smallcaps> -- ]",cdial
36,Indo-Aryan,akṣaya,<number>36</number> <b>akṣaya</b> ʻ undecaying ʼ. [<smallcaps>kṣayá</smallcaps> -- ],cdial
37,Indo-Aryan,akṣayatr̥tīyā,"<number>37</number> <b>akṣayatr̥tīyā</b> f. ʻ festival on third day of bright half of Vaiśākha (which secured permanence for actions then initiated) ʼ. [<smallcaps>akṣaya -- , tr̥tīˊya</smallcaps> -- <superscript>1</superscript>]",cdial
38,Indo-Aryan,akṣára,"<number>38</number> <b>akṣára</b> ʻ indestructible ʼ, n. ʻ word, syllable ʼ RV., ʻ letter of the devanāgarī syllabary ʼ; -- cf. <i>ákṣarā</i> -- f. ʻ word, speech ʼ RV. [<smallcaps>kṣará</smallcaps> -- ]",cdial
38a,Indo-Aryan,akṣalita- ,<number>38a</number> *<b>akṣalita -- </b> Add. 14192. <p></p>,cdial
39,Indo-Aryan,"akṣavāṭa- ,","<number>39</number> <b>akṣavāṭa -- ,</b> -- <i>pāṭa</i> -- m. ʻ wrestling ground ʼ lex. [lit. ʻ fence of poles ʼ or ʻ dicing ground ʼ ? -- <smallcaps>akṣa -- <superscript>1 or 2</superscript>, vāṭa</smallcaps> -- <superscript>1</superscript>]",cdial
40,Indo-Aryan,akṣākāra,"<number>40</number> *<b>akṣākāra</b> ʻ shaped like a die ʼ. [<smallcaps>akṣá -- <superscript>2</superscript>, ākāra</smallcaps> -- ]",cdial
